model,fpr,tpr
Oracle,0.06631299734748011,0.46511627906976744
Oracle,0.06896551724137931,0.46511627906976744
Oracle,0.06896551724137931,0.4941860465116279
Oracle,0.07957559681697612,0.4941860465116279
Oracle,0.07957559681697612,0.5058139534883721
Oracle,0.08222811671087533,0.5058139534883721
Oracle,0.08222811671087533,0.5174418604651163
Oracle,0.08488063660477453,0.5174418604651163
Oracle,0.08488063660477453,0.5465116279069767
Oracle,0.08753315649867374,0.5465116279069767
Oracle,0.08753315649867374,0.5523255813953488
Oracle,0.09549071618037135,0.5523255813953488
Oracle,0.09549071618037135,0.5581395348837209
Oracle,0.09814323607427056,0.5581395348837209
Oracle,0.09814323607427056,0.5813953488372093
Oracle,0.10610079575596817,0.5813953488372093
Oracle,0.10610079575596817,0.5930232558139535
Oracle,0.10875331564986737,0.5930232558139535
Oracle,0.10875331564986737,0.5988372093023255
Oracle,0.11140583554376658,0.5988372093023255
Oracle,0.11140583554376658,0.6511627906976745
Oracle,0.1220159151193634,0.6511627906976745
Oracle,0.1220159151193634,0.6569767441860465
Oracle,0.1246684350132626,0.6569767441860465
Oracle,0.1246684350132626,0.6686046511627907
Oracle,0.129973474801061,0.6686046511627907
Oracle,0.129973474801061,0.6744186046511628
Oracle,0.13262599469496023,0.6744186046511628
Oracle,0.13262599469496023,0.6802325581395349
Oracle,0.14854111405835543,0.6802325581395349
Oracle,0.14854111405835543,0.6976744186046512
Oracle,0.15384615384615385,0.6976744186046512
Oracle,0.15384615384615385,0.7093023255813954
Oracle,0.16180371352785147,0.7093023255813954
Oracle,0.16180371352785147,0.7151162790697675
Oracle,0.16710875331564987,0.7151162790697675
Oracle,0.16710875331564987,0.7209302325581395
Oracle,0.17506631299734748,0.7209302325581395
Oracle,0.17506631299734748,0.7267441860465116
Oracle,0.18037135278514588,0.7267441860465116
Oracle,0.18037135278514588,0.7325581395348837
Oracle,0.1856763925729443,0.7325581395348837
Oracle,0.1856763925729443,0.7441860465116279
Oracle,0.19363395225464192,0.7441860465116279
Oracle,0.19363395225464192,0.75
Oracle,0.1962864721485411,0.75
Oracle,0.1962864721485411,0.7558139534883721
Oracle,0.1989389920424403,0.7558139534883721
Oracle,0.1989389920424403,0.7790697674418605
Oracle,0.20689655172413793,0.7790697674418605
Oracle,0.20689655172413793,0.7848837209302325
Oracle,0.22281167108753316,0.7848837209302325
Oracle,0.22281167108753316,0.8023255813953488
Oracle,0.22546419098143236,0.8023255813953488
Oracle,0.22546419098143236,0.8081395348837209
Oracle,0.22811671087533156,0.8081395348837209
Oracle,0.22811671087533156,0.8197674418604651
Oracle,0.23607427055702918,0.8197674418604651
Oracle,0.23607427055702918,0.8255813953488372
Oracle,0.246684350132626,0.8255813953488372
Oracle,0.246684350132626,0.8372093023255814
Oracle,0.2493368700265252,0.8372093023255814
Oracle,0.2493368700265252,0.8430232558139535
Oracle,0.2519893899204244,0.8430232558139535
Oracle,0.2519893899204244,0.8546511627906976
Oracle,0.2546419098143236,0.8546511627906976
Oracle,0.2546419098143236,0.8662790697674418
Oracle,0.2572944297082228,0.8662790697674418
Oracle,0.2572944297082228,0.872093023255814
Oracle,0.27586206896551724,0.872093023255814
Oracle,0.27586206896551724,0.877906976744186
Oracle,0.2891246684350133,0.877906976744186
Oracle,0.2891246684350133,0.8837209302325582
Oracle,0.29442970822281167,0.8837209302325582
Oracle,0.29442970822281167,0.8895348837209303
Oracle,0.29708222811671087,0.8895348837209303
Oracle,0.29708222811671087,0.8953488372093024
Oracle,0.3129973474801061,0.8953488372093024
Oracle,0.3129973474801061,0.9186046511627907
Oracle,0.36074270557029176,0.9186046511627907
